sn,stock,ltp,point_change,percent_change,open,high,low,volume,prev_close,detail_link
42,GILB,"1,231.10",-12.90,-1.04,"1,244.00","1,244.00","1,230.00",323.00,"1,244.00",https://www.sharesansar.com/company/gilb
43,GIMES1,9.50,-0.08,-0.84,9.77,9.77,9.39,"6,800.00",9.58,https://www.sharesansar.com/company/gimes1
44,GLBSL,960.00,0.00,0.00,960.00,960.00,960.00,10.00,960.00,https://www.sharesansar.com/company/glbsl
45,GLH,284.00,4.00,1.43,277.00,285.00,277.00,"2,145.00",280.00,https://www.sharesansar.com/company/glh
46,GMFBS,918.00,8.00,0.88,915.00,918.00,900.00,422.00,910.00,https://www.sharesansar.com/company/gmfbs
47,GMFIL,342.90,-5.10,-1.47,348.00,349.80,342.90,"1,365.00",348.00,https://www.sharesansar.com/company/gmfil
48,GRDBL,261.90,3.90,1.51,253.10,261.90,252.90,"1,737.00",258.00,https://www.sharesansar.com/company/grdbl
49,GRDBLP,135.00,0.00,0.00,135.00,135.00,135.00,"1,000.00",135.00,https://www.sharesansar.com/company/grdblp
50,GUFL,530.00,-4.50,-0.84,524.00,549.00,524.00,"13,830.00",534.50,https://www.sharesansar.com/company/gufl
51,GVL,348.00,-7.90,-2.22,357.00,357.00,346.70,"2,773.00",355.90,https://www.sharesansar.com/company/gvl
52,HBL,324.00,2.00,0.62,320.10,324.90,320.10,"1,725.00",322.00,https://www.sharesansar.com/company/hbl
53,HDHPC,201.90,-0.10,-0.05,203.00,205.00,201.30,"42,757.00",202.00,https://www.sharesansar.com/company/hdhpc
54,HDL,"3,390.00",10.00,0.30,"3,430.00","3,430.00","3,362.00","2,309.00","3,380.00",https://www.sharesansar.com/company/hdl
55,HEI,396.60,-10.40,-2.56,415.10,415.10,394.00,"15,502.00",407.00,https://www.sharesansar.com/company/hei
56,HEIP,276.40,276.40,0.00,274.00,282.00,268.60,510.00,0.00,https://www.sharesansar.com/company/heip
57,HHL,286.00,-2.40,-0.83,287.00,305.00,280.10,"3,700.00",288.40,https://www.sharesansar.com/company/hhl
58,HIDCL,193.90,-0.20,-0.10,191.50,197.80,191.50,"22,787.00",194.10,https://www.sharesansar.com/company/hidcl
59,HIDCLP,105.50,5.50,5.50,101.90,106.80,99.90,"50,310.00",100.00,https://www.sharesansar.com/company/hidclp
60,HPPL,339.00,-6.90,-1.99,339.00,345.00,339.00,"2,070.00",345.90,https://www.sharesansar.com/company/hppl
61,HURJA,240.00,0.10,0.04,241.00,242.00,232.00,"2,423.00",239.90,https://www.sharesansar.com/company/hurja
62,ICFC,486.90,2.90,0.60,476.00,494.00,476.00,"14,505.00",484.00,https://www.sharesansar.com/company/icfc
63,IGI,391.90,-4.10,-1.04,401.00,403.00,385.50,"8,716.00",396.00,https://www.sharesansar.com/company/igi
64,ILBS,950.00,-19.90,-2.05,951.00,965.00,932.00,"1,022.00",969.90,https://www.sharesansar.com/company/ilbs
65,JALPA,"3,014.00",-32.80,-1.08,"3,020.00","3,100.00","3,014.00",769.00,"3,046.80",https://www.sharesansar.com/company/jalpa
66,JBBL,287.00,-1.90,-0.66,292.00,292.00,283.40,"12,778.00",288.90,https://www.sharesansar.com/company/jbbl
67,JBLB,"2,620.00",3.00,0.11,"2,595.00","2,645.00","2,595.00","1,602.00","2,617.00",https://www.sharesansar.com/company/jblb
68,JFL,390.00,0.10,0.03,382.20,403.00,382.20,"4,954.00",389.90,https://www.sharesansar.com/company/jfl
69,JOSHI,207.00,0.00,0.00,211.00,211.00,205.00,"2,005.00",207.00,https://www.sharesansar.com/company/joshi
70,JSLBB,"1,720.00",24.00,1.42,"1,700.00","1,728.90","1,695.00",82.00,"1,696.00",https://www.sharesansar.com/company/jslbb
71,KBL,196.30,-1.90,-0.96,198.00,200.00,196.30,"31,744.00",198.20,https://www.sharesansar.com/company/kbl
72,KDBY,8.38,-0.03,-0.36,8.27,8.55,8.27,"1,400.00",8.41,https://www.sharesansar.com/company/kdby
73,KEF,8.34,0.06,0.72,8.12,8.34,7.99,"4,690.00",8.28,https://www.sharesansar.com/company/kef
74,KKHC,207.00,-1.90,-0.91,213.00,213.00,206.00,"1,450.00",208.90,https://www.sharesansar.com/company/kkhc
75,KLBSL,892.00,17.00,1.94,892.00,892.00,892.00,13.00,875.00,https://www.sharesansar.com/company/klbsl
